key,0,1,2
8,[第8期],穿行威隧道開通,貫穿西南部環形山的穿行威隧道現已開通！<hex:02100103><hex:02100103>這座環形山名為閃亮山，山體由非常堅硬的水晶層與較為柔軟的岩石層混合組成，此次隧道建設對於我們來說是一次檢驗技術實力的絕佳機會。<hex:02100103>為此我們和薩雷安的研究者共同設計了新的盾構法，促成了隧道的順利完工。<hex:02100103>想必本次施工的經驗也能靈活運用到未來的外星探索之中！
9,[第9期],宇宙飛線向隧道內部區域延伸,宇宙飛線目前已經通到了憧憬灣西南部的穿行威隧道內部區域！<hex:02100103><hex:02100103>在穿行威隧道內部，不但有可能採掘到特殊礦物，我們還發現了過去墜落的古代亞拉戈文明的遺物。如果能有效利用這些資源，宇宙探索計劃應該能取得進一步發展。
10,[第10期],進一步擴建月門基地,真是令人感嘆，我似乎看到一座新的城市正在這月面之上拔地而起。在各位的幫助下，月門基地新一輪的擴建已經完成！<hex:02100103><hex:02100103>在本次擴建中，為了使分散配置的各類設施能更有效率地配合，我們進一步整建了道路、隔離牆以及管線等設施。<hex:02100103>除了改善居住環境以外，我們還對備用物資的供給處進行了改建，歡迎各位協助者們繼續光臨。<hex:02100103><hex:02100103>不過目前仍然存在一些問題，我們會繼續擴充這座基地的設施！
11,[第11期],能源與水利設施竣工,在各位的幫助下，新的發電站與供水站建設完成了！<hex:02100103><hex:02100103>電力對宇宙飛船而言是不可或缺的，因此能夠產生龐大電力的發電站對宇宙探索計劃來說有著極為重要的意義。<hex:02100103>另外，淨水設施能利用中控水晶的力量淨化從魔泉汲取的水，提高了獲取飲用水的便捷性。<hex:02100103>能源和水——這兩處設施的建立為我們架起了生命線！
12,[第12期],機甲庫和宇宙港完工,機甲庫和宇宙港的建設終於完工了！<hex:02100103><hex:02100103>兩處設施現在均經由地下雷線直連發電站，針對機甲和宇宙飛船的能源供給體系也已完備。<hex:02100103>另一方面，為了應對發電站發生故障的情況，在機甲庫和宇宙港都配有小型輔助發電設備，作為備用能源。<hex:02100103>居安思危，時常為最壞的情況做好準備是非常重要的！
13,[第13期],開通月底升降梯,為了前往憧憬灣東北部地裂之下的巨大空間，我們開通了月底升降梯！<hex:02100103><hex:02100103>這片空間是由無人機調查發現的，為了給外星探索積累經驗，我們決定在這裡開路並開採資源。<hex:02100103>我們靈活運用挖掘隧道時積累的經驗，建造了能夠搭載重型機械的升降梯，這一成功讓我們士氣大振。<hex:02100103><hex:02100103>另外，成功探索月底一帶後，我們就探索過憧憬灣的所有區域了。<hex:02100103>今後我們仍會步履不停，繼續推進宇宙探索計劃！
14,[第14期],宇宙飛線向月底延伸,宇宙飛線目前已經通到了憧憬灣東北部的月底區域！<hex:02100103>現在我們能通過宇宙飛線往來於憧憬灣全域了！<hex:02100103><hex:02100103>雖然施工的過程困難重重，但我們終於能夠便捷地移動到魔泉瀑布和生長著大量菌類的小洞窟了，這算是巨大的收穫。<hex:02100103>這些成功的經驗將來在探索外星的過程中一定能派上用場。讓我們今後繼續通力合作吧！
15,[第15期],月上跳跳城竣工,在月門基地的中央張開了一個巨大的圓形穹頂，宛如月面之上升起了另一輪明月，令人嘆為觀止！<hex:02100103><hex:02100103>它的名字是「月上跳跳城」！<hex:02100103>我們聚集在穹頂之下，渴望著從月面起跳，前往光輝燦爛的星河……這就是月上跳跳城名字的由來。<hex:02100103><hex:02100103>在設計方面，我們採用了圓形的穹頂覆蓋住這座城市，這樣既能減輕隕石擊中中控水晶的風險，也能為大家提供安心的生活保障。<hex:02100103>希望研究員們和兔兔族在四處奔忙之餘，在這裡隨意小憩、放鬆身心。<hex:02100103>這座憧憬灣中央設施的完工，同時也意味著我們在月面之上的探索告一段落。<hex:02100103>這段時間我們獲得了許多人的鼎力相助，我在此鄭重地向大家表示感謝！
16,[第16期],對未知群星的憧憬從月球啟航,目前計劃中的全部設施均已建設完成，準備就緒的新飛船正在宇宙港裡蓄勢待發！<hex:02100103><hex:02100103>回首那些日日夜夜，我們不辭辛勞、揮汗如雨。<hex:02100103>當查明威主任和各位人類不經意間仰望黑暗深邃的太空，眼中映入群星的光輝之時……在一賞此番美景的瞬間，我在日誌中所寫下的種種艱難困苦便成為了過去。<hex:02100103><hex:02100103>好了，是時候飛向群星，展開新的探索之旅了！<hex:02100103>本人衷心期待著今後繼續為宇宙探索的軌跡記錄新的篇章！
17,[第1期],法恩娜行星探索計劃開始,即日起將繼續由本人時評威執筆，為各位讀者記錄我們在法恩娜行星的探索腳步。<hex:02100103>還請各位繼續多多支持！<hex:02100103><hex:02100103>言歸正傳，我們的宇宙飛船銀河威號終於離開月面踏上旅程，經過宙脈跳躍來到了法恩娜行星。<hex:02100103>我們之所以選擇這顆星球作為最初的目的地，是因為確認到這裡埋藏有豐富的的矽元素資源，而且這裡獨特的環境也極大地激發了我們的探索欲！<hex:02100103><hex:02100103>在先遣隊的活躍表現下，曾在憧憬灣進行過設營測試的各類工具裝設完畢，新建成的玻璃匠基地開始運轉。<hex:02100103>目前基地的功能還非常有限，需要運來並投入更多的物資才能進一步擴充。接下來希望能和各位協助者們通力合作，不斷擴建基地並探索星球。
18,[第2期],擴建玻璃匠基地,通過最大化利用銀河威號，從月球搬運物資的工作進展順利！<hex:02100103>多虧了大家的幫助，玻璃匠基地中的設備逐漸充實了起來。<hex:02100103><hex:02100103>法恩娜行星總是在不斷降下玻璃雨和灰塵，因為環境限制，本基地最大的特徵是選址在了一處巨大的岩洞內。<hex:02100103>而岩洞中的空間是有限的，今後在配置各種設施時，需要提前做好規劃！<hex:02100103>所幸各位技術人員們全都摩拳擦掌，為建設提出了各種計劃。想必不久後這裡就能成為一座很棒的基地吧。
19,[第3期],建設宇宙飛線,目前我們開始在法恩娜行星建設宇宙飛線了！<hex:02100103>說到底，宇宙飛線就是因為預想到外星環境中可能沒有穩定的地脈與風脈而開發的一種移動手段。<hex:02100103>現在終於能在預想中的環境下讓它發揮作用了！<hex:02100103><hex:02100103>策劃部的諸位研究者以及技術人員們尤其期待看到它完成的那一天。<hex:02100103>畢竟和協助計劃的冒險者們不同，許多研究者都有些缺乏自信。<hex:02100103>有了能把所有人都精準迅速送到目的地的宇宙飛線，才能更有效率地推進探索計劃！<hex:02100103>首先就從基地周邊開始建設，使其為這一帶的探索發揮作用吧。
20,[第4期],居住艙竣工,法恩娜行星的居住艙竣工了！<hex:02100103>與憧憬灣的居住艙相比，這次居住艙的設計更加註重居住的舒適性，保留了更寬敞的公共空間。<hex:02100103><hex:02100103>原本的方舟計劃目的就是讓來自亞伊太利斯的市民能長期在外太空生活……為了能讓大家生活得更加舒適，下了不少功夫來進行設計和優化。<hex:02100103><hex:02100103>而將要在此次的居住艙生活的研究者和技術人員們常說，能有個地方睡覺就好。在和項目經理姆姆珂商量過以後，我們採用了相比方舟計劃更為緊湊化的設計。
21,[第5期],能源與水利設施竣工,適應法恩娜行星環境的發電站與供水站建設完成了！<hex:02100103><hex:02100103>這顆星球的水資源大部分都含有極高的矽元素，並不適合直接用作生活用水。<hex:02100103>為此，通過供水站來淨化水源就成了必不可少的工序！<hex:02100103>而發電站則會供給電力從能源層面支撐接下來的探索計劃。<hex:02100103>這兩處設施開始工作，意味著今後我們在這顆星球的探索進程會不斷加快！
22,[第6期],機甲庫功能強化,目前各類機甲正在法恩娜行星上大顯身手。<hex:02100103>這雖然是值得高興的事，但反過來想的話，如果因為事故損失了哪怕一台機甲，都會不可避免地為計劃帶來負面影響。<hex:02100103><hex:02100103>為此我們將機甲庫的位置選在了一處隧道口，這裡不但受到隧道頂部與岩壁的保護，而且還能較為方便地前往各處。<hex:02100103>這次機甲庫也使用了改良後的集裝箱型設計，安全性進一步提高，使機甲能夠更為穩定地投入到工作中！
23,[第7期],宇宙飛線向對岸區域延伸,宇宙飛線目前已經通到了堿石灰河對岸的西部到南部的區域！<hex:02100103><hex:02100103>這一帶的溪谷應該是受河流侵蝕而形成，地形非常複雜，人員移動與物資輸送都極為不便，為此需要盡快將宇宙飛線鋪設完成。<hex:02100103>然而法恩娜行星有著特有的玻璃質大地，有些地方難以承受重型機械與設施的重量，我們在選擇施工地點上花費了不少時間。<hex:02100103>技術專家們經過縝密的地質調查，終於找到了適合的施工地點，使得這次的鋪設圓滿成功！
24,[第8期],嵌花升降機竣工,膠囊峽谷是法恩娜行星的一處地下大空洞，它位於堿石灰河瀑布的正下方，其底部形成了許多互相重疊的大型玻璃球體。在這與地面隔絕的神秘環境中，一定有著許多令人興奮的未知正在等待著我們！<hex:02100103>為了探索膠囊峽谷的深處，我們開發出了嵌花升降機！<hex:02100103><hex:02100103>所謂的「嵌花」，是指在玻璃工藝中將分別製作的部件貼合在一起，再通過高溫燒製融合的技法。<hex:02100103>我們從中得到靈感，在空洞外圍結實的地層上裝設升降機，以此為立足點下降到了空洞的底部。<hex:02100103><hex:02100103>我們之前在建設宇宙飛線時期磨練出的地質調查技術，以及在憧憬灣建設隧道以及升降梯時用過的精密施工技術，全都應用到了這次升降機的建設工程中！
25,[第9期],宇宙飛線向膠囊峽谷底部延伸,宇宙飛線成功通到了膠囊峽谷的底部！<hex:02100103><hex:02100103>這個地方有很多互相重疊的不穩定玻璃球體，因此有人擔心在這裡鋪設宇宙飛線會不會很困難。<hex:02100103>我們在鋪設宇宙飛線時，除了需要將兩個站點之間的部件組裝在一起之外，還需要精確地設定好坐標。<hex:02100103>我們活用至今以來積累的經驗，慎重測定玻璃球體和堆積物的平衡閾值，將站點成功建設在了較為穩定的地點！<hex:02100103><hex:02100103>相信在這一高難度區域的成功施工將進一步增強我們的自信！
26,[第10期],進一步擴建玻璃匠基地,在大家的幫助下，玻璃匠基地得以擴建，這個據點現在已經可以讓人十分舒適地居住生活了。<hex:02100103><hex:02100103>為了配合洞窟的形狀，我們經過了縝密的計算，慎重考量每處設施的設定，才得以將基地擴建成了今天的樣子。<hex:02100103>許多設施並不是隨便擺在那裡就好，像是機甲和無人機的移動路線，還有線路以及管道的鋪設等等，需要考慮的問題堆積如山！<hex:02100103>參與到制定擴建計劃的諸位技術人員們那暗含驕傲的牢騷與報怨，我也聽到過不少呢！<hex:02100103><hex:02100103>為了能夠更進一步推進探索的進程，還有更為重大的建設計劃需要在這個基地中進行……但距離它完成的那一天還很遙遠。<hex:02100103>大家一起繼續加油努力吧！
27,[第11期],機甲庫進一步功能強化,目前基地內設施逐漸換上了以法恩娜行星產出的玻璃資源為材料的新內牆。<hex:02100103>機甲庫的內牆現也已替換完畢！<hex:02100103><hex:02100103>這種玻璃材料不但美觀，而且強度勝過鋼板，甚至還能用來把太陽能轉換為電能，簡直完美無缺！<hex:02100103>我們專門從亞伊太利斯招聘了玻璃工藝的專家，請他們和技術人員們一同開發出了這種劃時代的新建材，它是最新技術的結晶！<hex:02100103>相信新內牆的裝設也會大幅改善設施中電力有關的各種問題！
28,[第12期],宇宙港多功能化,宇宙港的功能現在得到了擴充！<hex:02100103><hex:02100103>今後我們不但能從這裡往返於憧憬灣，還能前往宇宙的更深處了。<hex:02100103>我們還為宇宙港增設了專用的發電站，大幅縮短了充能時間，單位時間的物資運輸量也得以增加！<hex:02100103><hex:02100103>飛船要來往於岩洞內部的玻璃匠基地，雖然看起來似乎不太安全，但經過細緻的路線設定之後，在啟航和返航中就都能實現安全的自動駕駛了。<hex:02100103>當然，在初次到達這裡時，航行威可是大秀了一把他那爐火純青的手動駕駛技巧呢！
29,[第13期],建設超級光能站,本次建設完成的超級光能站，是支撐玻璃匠基地能源供應的非常重要的設施！<hex:02100103><hex:02100103>雖然之前我們已經建好了發電站，但發電站是通過乙太的屬性轉換來產生電力的設施。<hex:02100103>而超級光能站則不然，它是能把法恩娜行星所在星系的恆星發射出的光能轉換為電能的設施。<hex:02100103><hex:02100103>如今基地內外都有許多機械投入到了工作中，電力自然是越多越好。<hex:02100103>現在有了這兩種發電設施同時運作，我們對能源使用的規劃就寬裕了許多，不再需要過度精打細算了！
30,[第14期],通過冷卻熔融玻璃擴大探索區域,通過建設無人機動員站，熔火湧道火山口熔融玻璃冷卻計劃大功告成！<hex:02100103><hex:02100103>法恩娜行星似乎有著非常激烈的地熱變化，在平原區域有時也能看到偶然形成的火山口。<hex:02100103>而熔火湧道就是這類熱源地帶之一，我們一邊盡量避免對行星環境產生不好的影響，一邊實驗性地對其實施了冷卻。<hex:02100103><hex:02100103>多虧了大家的幫助，這個計劃得以成功實施，我們能夠安全探索的區域也得以擴大了。<hex:02100103>經調查，對燒得通紅的玻璃溶液進行冷卻凝固，便可以使其固化成為了堿石灰河水那樣澄澈的水色玻璃。<hex:02100103>只要冷卻固化成功一次，之後便只需要通過無人機來投放冷卻材料，就能讓其維持在固體玻璃狀態，我們也可以在此處自由安全地進行探索了。<hex:02100103>通過調查這一區域，應該能幫助我們了解這顆星球的地質演化史。
31,[第15期],宇宙飛線向熔融玻璃地帶延伸,通往熔火湧道內側區域的宇宙飛線正式竣工！<hex:02100103>現在我們能夠輕鬆來往於目前探索計劃之內的所有區域了！<hex:02100103><hex:02100103>這次我們在建設站點前，應用了之前熔融玻璃冷卻計劃中使用過的無人機，將地基進行了徹底加固。<hex:02100103>雖然這些無人機只是微不足道的小型設備，但正是這些技術的結晶如今化為了這顆星球上四通八達的交通網！
32,[第16期],法恩娜觀星鏡竣工,令人驚嘆，在我們的玻璃匠基地內，用來遙望星空的大型天文望遠鏡——法恩娜觀星鏡建設完成！<hex:02100103><hex:02100103>法恩娜觀星鏡不但能夠看到遠方群星的外觀，還能夠用來觀測並推定每顆星球的天脈濃度。<hex:02100103>宇宙探索策劃部的目標是，用它來找出智慧生命體、或是未知文明留下的痕跡……為了實現這一目標，還需要各位天文學的專家們用它來一探宇宙的各個方位，用得到的數據來進行進一步的分析！<hex:02100103><hex:02100103>目前我們活用這顆星球上的資源，完成了我們當前最大的目標——天文望遠鏡，這標誌著我們在法恩娜行星上的計劃告一段落。<hex:02100103>這一成功離不開許多人們持之以恆的幫助，我再次衷心向大家表示感謝！
33,[第17期],遙望光輝的群星,目前本次計劃中的設施也已全部建設完成，只待再次乘坐銀河威號出發，前往映照在法恩娜觀星鏡中的新的星球了。<hex:02100103><hex:02100103>為了我們今後的探索計劃能夠順利展開，這麼一架大型觀測望遠鏡正是我們所需之物，如此想來，我們最初到訪的是這座玻璃星球真可謂是歪打正著了。<hex:02100103>對天文望遠鏡來說，精密的透鏡可以說是它的「瞳孔」，我們對其進行精煉、打磨，讓它作為望遠鏡的獨眼以熱誠的視線不斷遙望宇宙的遠方。<hex:02100103><hex:02100103>離開亞伊太利斯星系，經過在這顆星球上的探索活動，我們現在是否能夠在真正意義上稱得上是外星探索團了呢？<hex:02100103>而我們的旅程也才剛剛開始！<hex:02100103>朝向遙遠天外群星的光芒，用探索的腳步不斷刻畫出新的軌跡吧！
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
