key,0,1,2,3,4
15,隨機任務：團隊任務,團隊任務,,隨機參加24人團隊任務。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。,對應任務：團隊任務
16,,,,,
17,隨機任務：大型任務,大型任務,,隨機參加當前可以參加的8人大型任務。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲取。<hex:02100103>※隨機任務的獎勵一天只能獲得一次，獎勵獲取權會在每日<hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點刷新。<hex:02100103>※「少數職能獎勵」以申請時所顯示的少數職能為準。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。,對應任務：大型任務
18,陸行鳥競賽：荒野大道,荒野大道,,陸行鳥競賽是參賽者們與專職奔跑的競賽陸行鳥搭檔一起爭奪名次的競技。<hex:02100103>你也朝著勝利開始競賽吧！<hex:02100103><hex:02100103>※根據競賽陸行鳥的羽力決定參賽的羽力級。<hex:02100103>※如果以小隊形式申請參賽，將會以小隊成員中羽力最低的競賽陸行鳥來決定參賽的羽力級。<hex:02100103>※在參賽的羽力級決定後，能力超過該羽力級的競賽陸行鳥，將會根據該羽力級進行能力的調整。<hex:02100103>※參加競賽的玩家可以使用小隊頻道。,
19,陸行鳥競賽：太陽海岸,太陽海岸,,陸行鳥競賽是參賽者們與專職奔跑的競賽陸行鳥搭檔一起爭奪名次的競技。<hex:02100103>你也朝著勝利開始競賽吧！<hex:02100103><hex:02100103>※根據競賽陸行鳥的羽力決定參賽的羽力級。<hex:02100103>※如果以小隊形式申請參賽，將會以小隊成員中羽力最低的競賽陸行鳥來決定參賽的羽力級。<hex:02100103>※在參賽的羽力級決定後，能力超過該羽力級的競賽陸行鳥，將會根據該羽力級進行能力的調整。<hex:02100103>※參加競賽的玩家可以使用小隊頻道。,
20,陸行鳥競賽：恬靜小路,恬靜小路,,陸行鳥競賽是參賽者們與專職奔跑的競賽陸行鳥搭檔一起爭奪名次的競技。<hex:02100103>你也朝著勝利開始競賽吧！<hex:02100103><hex:02100103>※根據競賽陸行鳥的羽力決定參賽的羽力級。<hex:02100103>※如果以小隊形式申請參賽，將會以小隊成員中羽力最低的競賽陸行鳥來決定參賽的羽力級。<hex:02100103>※在參賽的羽力級決定後，能力超過該羽力級的競賽陸行鳥，將會根據該羽力級進行能力的調整。<hex:02100103>※參加競賽的玩家可以使用小隊頻道。,
21,陸行鳥競賽：隨機賽道,隨機賽道,,陸行鳥競賽是參賽者們與專職奔跑的競賽陸行鳥搭檔一起爭奪名次的競技。<hex:02100103>你也朝著勝利開始競賽吧！<hex:02100103><hex:02100103>※在陸行鳥競賽：隨機賽道中將會隨機參加可以參加的賽道。<hex:02100103>※根據競賽陸行鳥的羽力決定參賽的羽力級。<hex:02100103>※如果以小隊形式申請參賽，將會以小隊成員中羽力最低的競賽陸行鳥來決定參賽的羽力級。<hex:02100103>※在參賽的羽力級決定後，能力超過該羽力級的競賽陸行鳥，將會根據該羽力級進行能力的調整。<hex:02100103>※參加競賽的玩家可以使用小隊頻道。,
22,陸行鳥競賽：荒野大道（無報酬）,荒野大道（無報酬）,,陸行鳥競賽是參賽者們與專職奔跑的競賽陸行鳥搭檔一起爭奪名次的競技。<hex:02100103>你也朝著勝利開始競賽吧！<hex:02100103><hex:02100103>※僅限小隊成員進行競賽，無法匹配其他玩家。<hex:02100103>※小隊成員中羽力最低的競賽陸行鳥將決定參賽的羽力級。<hex:02100103>※在參賽的羽力級決定後，能力超過該羽力級的競賽陸行鳥，將會根據該羽力級進行能力的調整。<hex:02100103>※參加競賽的玩家可以使用小隊頻道。<hex:02100103>※無法獲得報酬與經驗值。,
23,陸行鳥競賽：太陽海岸（無報酬）,太陽海岸（無報酬）,,陸行鳥競賽是參賽者們與專職奔跑的競賽陸行鳥搭檔一起爭奪名次的競技。<hex:02100103>你也朝著勝利開始競賽吧！<hex:02100103><hex:02100103>※僅限小隊成員進行競賽，無法匹配其他玩家。<hex:02100103>※小隊成員中羽力最低的競賽陸行鳥將決定參賽的羽力級。<hex:02100103>※在參賽的羽力級決定後，能力超過該羽力級的競賽陸行鳥，將會根據該羽力級進行能力的調整。<hex:02100103>※參加競賽的玩家可以使用小隊頻道。<hex:02100103>※無法獲得報酬與經驗值。,
24,陸行鳥競賽：恬靜小路（無報酬）,恬靜小路（無報酬）,,陸行鳥競賽是參賽者們與專職奔跑的競賽陸行鳥搭檔一起爭奪名次的競技。<hex:02100103>你也朝著勝利開始競賽吧！<hex:02100103><hex:02100103>※僅限小隊成員進行競賽，無法匹配其他玩家。<hex:02100103>※小隊成員中羽力最低的競賽陸行鳥將決定參賽的羽力級。<hex:02100103>※在參賽的羽力級決定後，能力超過該羽力級的競賽陸行鳥，將會根據該羽力級進行能力的調整。<hex:02100103>※參加競賽的玩家可以使用小隊頻道。<hex:02100103>※無法獲得報酬與經驗值。,
25,陸行鳥競賽：隨機賽道（無報酬）,隨機賽道（無報酬）,,陸行鳥競賽是參賽者們與專職奔跑的競賽陸行鳥搭檔一起爭奪名次的競技。<hex:02100103>你也朝著勝利開始競賽吧！<hex:02100103><hex:02100103>※在陸行鳥競賽：隨機賽道中將會隨機參加可以參加的賽道。<hex:02100103>※僅限小隊成員進行競賽，無法匹配其他玩家。<hex:02100103>※小隊成員中羽力最低的競賽陸行鳥將決定參賽的羽力級。<hex:02100103>※在參賽的羽力級決定後，能力超過該羽力級的競賽陸行鳥，將會根據該羽力級進行能力的調整。<hex:02100103>※參加競賽的玩家可以使用小隊頻道。<hex:02100103>※無法獲得報酬與經驗值。,
26,陸行鳥競賽：隨機賽道,隨機賽道,,,
27,陸行鳥競賽：隨機賽道,隨機賽道,,,
28,陸行鳥競賽：隨機賽道,隨機賽道,,,
29,陸行鳥競賽：隨機賽道,隨機賽道,,,
30,陸行鳥競賽：隨機賽道,隨機賽道,,,
31,陸行鳥競賽：隨機賽道,隨機賽道,,,
32,陸行鳥競賽：隨機賽道,隨機賽道,,,
33,陸行鳥競賽：隨機賽道,隨機賽道,,,
34,陸行鳥競賽：隨機賽道,隨機賽道,,,
35,陸行鳥競賽：隨機賽道,隨機賽道,,,
36,陸行鳥競賽：隨機賽道,隨機賽道,,,
37,陸行鳥競賽：隨機賽道,隨機賽道,,,
38,陸行鳥競賽：隨機賽道,隨機賽道,,,
39,,,,,
40,水晶衝突（練習賽）,練習賽,,「水晶衝突」是艾歐澤亞城邦軍事同盟為由少數人組成的局部戰爭打造的新型模擬戰。在現有的對人戰鬥的基礎上，增加了確保重要物資「戰術水晶」並將其轉移到目的地的戰略要素。在用最新全息投影技術再現的多彩環境中努力取得勝利吧！,
41,水晶衝突（段位賽）,段位賽,,「水晶衝突」是艾歐澤亞城邦軍事同盟為由少數人組成的局部戰爭打造的新型模擬戰。在現有的對人戰鬥的基礎上，增加了確保重要物資「戰術水晶」並將其轉移到目的地的戰略要素。在用最新全息投影技術再現的多彩環境中努力取得勝利吧！<hex:02100103><hex:02100103>※勝利之星和水晶點會因比賽的勝負而變動。<hex:02100103>※會與段位和階位相近的玩家進行匹配。<hex:02100103>※會盡量平衡雙方小隊成員的職業構成、段位、階位來進行分組。,
